2016-03-17T01:00:00.000,Reliant Transportation Inc.,39.9,New Dawn Transit LLC,39.3,G.V.C. LTD,35.7,Pioneer Transportation,28.700000000000003,Boro Transit Inc.,21.9
2016-03-24T01:00:00.000,Reliant Transportation Inc.,36.49999999999999,New Dawn Transit LLC,36.4,G.V.C. LTD,34.2,Pioneer Transportation,18.299999999999997,IC Bus Inc.,17.2
2016-03-31T02:00:00.000,New Dawn Transit LLC,54.0,G.V.C. LTD,45.49999999999999,Reliant Transportation Inc.,36.9,Leesel Transportation Corp.,33.9,Pioneer Transportation,31.9
2016-04-07T02:00:00.000,Leesel Transportation Corp.,51.8,Reliant Transportation Inc.,41.4,G.V.C. LTD,39.0,New Dawn Transit LLC,34.2,Pioneer Transportation,32.0
2016-04-14T02:00:00.000,Leesel Transportation Corp.,43.1,Reliant Transportation Inc.,40.2,New Dawn Transit LLC,37.7,Pioneer Transportation,31.2,G.V.C. LTD,27.900000000000002
2016-04-21T02:00:00.000,Leesel Transportation Corp.,20.7,New Dawn Transit LLC,20.1,Reliant Transportation Inc.,15.5,Pioneer Transportation,14.7,G.V.C. LTD,10.0
2016-04-28T02:00:00.000,Leesel Transportation Corp.,32.8,Pioneer Transportation,32.199999999999996,New Dawn Transit LLC,28.9,Reliant Transportation Inc.,28.0,Boro Transit Inc.,22.1
2016-05-05T02:00:00.000,Leesel Transportation Corp.,46.8,Reliant Transportation Inc.,44.199999999999996,New Dawn Transit LLC,38.0,Pioneer Transportation,33.699999999999996,G.V.C. LTD,32.4
2016-05-12T02:00:00.000,Leesel Transportation Corp.,51.49999999999999,New Dawn Transit LLC,43.5,Pioneer Transportation,40.0,G.V.C. LTD,39.7,Reliant Transportation Inc.,31.799999999999997
2016-05-19T02:00:00.000,New Dawn Transit LLC,53.9,Leesel Transportation Corp.,46.599999999999994,Pioneer Transportation,45.9,G.V.C. LTD,42.7,Reliant Transportation Inc.,39.9
2016-05-26T02:00:00.000,Reliant Transportation Inc.,48.2,Leesel Transportation Corp.,35.3,New Dawn Transit LLC,34.5,G.V.C. LTD,32.6,Pioneer Transportation,29.7
2016-06-02T02:00:00.000,G.V.C. LTD,47.2,Leesel Transportation Corp.,43.1,New Dawn Transit LLC,41.800000000000004,Reliant Transportation Inc.,38.5,Pioneer Transportation,32.599999999999994
2016-06-09T02:00:00.000,New Dawn Transit LLC,29.8,G.V.C. LTD,28.3,Leesel Transportation Corp.,25.8,Reliant Transportation Inc.,15.9,Pioneer Transportation,14.4
2016-06-16T02:00:00.000,New Dawn Transit LLC,35.5,G.V.C. LTD,35.5,Reliant Transportation Inc.,25.9,Don Thomas Buses Inc.,17.1,Pioneer Transportation,17.1
2016-06-23T02:00:00.000,New Dawn Transit LLC,24.6,Don Thomas Buses Inc.,13.0,Reliant Transportation Inc.,12.0,G.V.C. LTD,9.8,Pioneer Transportation,9.0
2016-06-30T02:00:00.000,G.V.C. LTD,15.0,Hoyt Transportation Corp,7.300000000000001,L & M Bus Corp.,5.7,Pride Transportation Services,5.2,Reliant Transportation Inc.,4.3
2016-07-07T02:00:00.000,Pride Transportation Services,43.800000000000004,Hoyt Transportation Corp,42.400000000000006,G.V.C. LTD,29.599999999999998,All American School Bus,16.5,Logan Bus Company Inc.,15.6
2016-07-14T02:00:00.000,Pride Transportation Services,61.5,Hoyt Transportation Corp,43.5,G.V.C. LTD,30.400000000000002,Logan Bus Company Inc.,19.4,L & M Bus Corp.,15.700000000000001
